size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,5.5494264955518486e-6,5.549726807594355e-6,5.549597031831775e-6
1,1048576,5.350058246612768e-6,5.35035782337199e-6,5.350264082193337e-6
2,1048576,5.410482221603759e-6,5.413672099113367e-6,5.413350692868176e-6
4,1048576,5.55895870590188e-6,5.563739635466525e-6,5.5630203079578376e-6
8,1048576,5.515952764508917e-6,5.5230404548670914e-6,5.522044771492695e-6
16,1048576,5.404674834251496e-6,5.410943343163618e-6,5.4103726454983015e-6
32,1048576,6.146798456193129e-6,6.1547831020378825e-6,6.1541685843467345e-6
64,1048576,8.350047514917388e-6,8.356565936083301e-6,8.355959068775318e-6
128,1048576,9.909445106509589e-6,9.911485455515441e-6,9.911126880111287e-6
256,1048576,1.0665996387485649e-5,1.067363175106176e-5,1.0671982798038952e-5
512,1048576,1.1738545124050678e-5,1.1753751583101955e-5,1.1750088087138608e-5
1024,1048576,1.290199641512816e-5,1.2913847454074272e-5,1.2911019042789317e-5
2048,524288,1.5093173723228144e-5,1.5101510240559795e-5,1.5099601016044825e-5
4096,262144,2.176482156755142e-5,2.1781197383878245e-5,2.1778264949798196e-5
8192,131072,4.8170535652127954e-5,4.818595809174663e-5,4.8178496783252575e-5
16384,65536,9.23923074646314e-5,9.240635400391294e-5,9.240154603480834e-5
32768,32768,0.00017043218170167095,0.00017044870245361016,0.00017044323454475747
65536,16384,0.0003382641884765794,0.0003382761485595156,0.0003382701907196482
131072,8192,0.0006839938298339419,0.0006840340584717136,0.0006840185337524114
262144,4096,0.00132123612231453,0.0013212867080074839,0.0013212616138152532
524288,2048,0.0025973109379882064,0.002597477360351097,0.0025974274298401576
1048576,1024,0.004812472565429132,0.00481259673242207,0.004812577061462365
