size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,6.046199771958527e-7,6.521169801931848e-7,6.321259577654614e-7
1,1048576,6.8072337037206054e-6,6.8170658853450306e-6,6.815413302177498e-6
2,1048576,6.826720015506993e-6,6.836414998989682e-6,6.83471264097818e-6
4,1048576,6.821778109067367e-6,6.831408533747307e-6,6.829576113497049e-6
8,1048576,6.8344384495100385e-6,6.844039158737658e-6,6.8423216996044145e-6
16,1048576,6.8021353337721635e-6,6.811955203689379e-6,6.80977309100439e-6
32,1048576,6.9781748803787735e-6,6.987593248020119e-6,6.985261068487292e-6
64,1048576,7.892762298622458e-6,7.902258391867534e-6,7.89909761719082e-6
128,1048576,9.632855805241647e-6,9.642468746129396e-6,9.64028980376952e-6
256,1048576,1.0291876855306192e-5,1.0300666171358941e-5,1.029679324463656e-5
512,1048576,1.1051382209359417e-5,1.1059566501492313e-5,1.1056771969691903e-5
1024,1048576,1.2301872637898725e-5,1.2310878530152891e-5,1.2306481626346566e-5
2048,524288,1.8189034703963713e-5,1.819832639382568e-5,1.8194713559696596e-5
4096,262144,2.3967066964392103e-5,2.3977002457264973e-5,2.39733138159004e-5
8192,131072,4.304458276216394e-5,4.3054444711643214e-5,4.304984666952949e-5
16384,65536,7.518454749089187e-5,7.519394026545001e-5,7.518838091846725e-5
32768,32768,0.00014214043719817937,0.00014215136236117587,0.000142145667382243
65536,16384,0.00030386218381295294,0.00030387713140100914,0.00030387219773597707
131072,8192,0.0005627030892583207,0.0005627176550433433,0.0005627105625984896
262144,4096,0.0010922925221166224,0.0010923096801889187,0.0010922998711855314
524288,2048,0.002315608937522029,0.0023156350126782854,0.0023156222256908165
1048576,1024,0.004469554463184977,0.004469839803277864,0.004469782786507892
