size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,5.66175369262697e-6,5.662529455184938e-6,5.662391081988802e-6
1,1048576,5.430953712463658e-6,5.431488524435658e-6,5.431423918366296e-6
2,1048576,5.59383840465576e-6,5.59546562671662e-6,5.595257252096673e-6
4,1048576,5.538417927744183e-6,5.540961910248158e-6,5.540532345772236e-6
8,1048576,5.447384355545584e-6,5.451729617118315e-6,5.451108675837636e-6
16,1048576,5.498651825901757e-6,5.505881705279624e-6,5.504937492489999e-6
32,1048576,6.667045724868677e-6,6.670735445024273e-6,6.669947514474473e-6
64,1048576,8.03958497142351e-6,8.048107217790183e-6,8.046344680487542e-6
128,1048576,9.852170885081313e-6,9.860272580150492e-6,9.858955009401034e-6
256,1048576,1.0545531276706237e-5,1.0547233063700831e-5,1.0546611975550548e-5
512,1048576,1.1614878955843873e-5,1.1625451591483038e-5,1.1622796700120245e-5
1024,1048576,1.2833673782341841e-5,1.2842845299718144e-5,1.2841020242931881e-5
2048,524288,1.5185786918631708e-5,1.5191768348682812e-5,1.5190392825959758e-5
4096,262144,2.1868817096716868e-5,2.187664036559328e-5,2.18746745860569e-5
8192,131072,4.8550064964291936e-5,4.856209758760069e-5,4.855773696136273e-5
16384,65536,9.267261553954644e-5,9.268456254576561e-5,9.268053865909121e-5
32768,32768,0.00017093208605948977,0.00017094338473512072,0.00017093933647348639
65536,16384,0.0003381179237060723,0.0003381339977417564,0.0003381265598945587
131072,8192,0.0006815653765867916,0.0006815815792237077,0.0006815739024505696
262144,4096,0.0013134378937989383,0.0013134790175779384,0.0013134642975310214
524288,2048,0.002486148619140288,0.002486247371581901,0.0024862244990539444
1048576,1024,0.004765377351562489,0.004765543141600631,0.004765495528747436
