size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,1.7783648305893374e-5,1.779040574645934e-5,1.7788075220227226e-5
1,1048576,1.7668958845137492e-5,1.767925846863043e-5,1.7675628929197644e-5
2,1048576,1.7689531352042667e-5,1.7699355628016775e-5,1.769618704968688e-5
4,1048576,1.7773543541908403e-5,1.7783605465900394e-5,1.7780333565474378e-5
8,1048576,1.7785081241603973e-5,1.779614959812366e-5,1.7792451689243752e-5
16,1048576,1.782178458881692e-5,1.7832713652615398e-5,1.782889933365609e-5
32,1048576,1.9455237841619835e-5,1.946622875975156e-5,1.9461902335286814e-5
64,1048576,2.1424091505061995e-5,2.1433548792850908e-5,2.1428823723324893e-5
128,1048576,2.2663218413349035e-5,2.267347968769952e-5,2.266844348251828e-5
256,1048576,2.705926159666199e-5,2.7070335503577472e-5,2.7064103694737893e-5
512,1048576,2.8690244663220644e-5,2.870194169996422e-5,2.869478932446122e-5
1024,1048576,3.0981069651632166e-5,3.099338381195384e-5,3.098599407010981e-5
2048,524288,3.9665808240855246e-5,3.9678686309797644e-5,3.967211280179183e-5
4096,262144,5.098468738177586e-5,5.099609154890863e-5,5.0991756853357954e-5
8192,131072,6.676309730532532e-5,6.677632201398335e-5,6.677115988586564e-5
16384,65536,0.00010491842163077095,0.00010493629483036143,0.00010493010685823969
32768,32768,0.00015936536077891007,0.00015938244946289183,0.00015937663017840244
65536,16384,0.00031188235266114625,0.0003119011516111887,0.0003118921133956644
131072,8192,0.0006830225662840805,0.0006830484881596086,0.0006830339920959444
262144,4096,0.0012358295769047678,0.0012358403632815457,0.001235835757232663
524288,2048,0.0022826636547853274,0.0022826829902337087,0.002282671957763648
1048576,1024,0.004343701995116911,0.004343775332030453,0.0043437399641722135
