size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,5.644627985954407e-6,5.646937108993941e-6,5.646608569383673e-6
1,1048576,5.5927474184036016e-6,5.599922332762568e-6,5.599212476968739e-6
2,1048576,5.4697135715488745e-6,5.47642231082981e-6,5.475555107772748e-6
4,1048576,5.442952736855771e-6,5.450713109971921e-6,5.4495338950156285e-6
8,1048576,5.639510597229958e-6,5.647314033510037e-6,5.645878671884145e-6
16,1048576,5.56319541645183e-6,5.57055222321087e-6,5.568777305304291e-6
32,1048576,5.992522545813748e-6,5.999829071998948e-6,5.9986885439159995e-6
64,1048576,8.412979095460422e-6,8.422273731231538e-6,8.419953295050766e-6
128,1048576,9.903130149845968e-6,9.912029469487766e-6,9.909691790879121e-6
256,1048576,1.0733545345305684e-5,1.0744738595958398e-5,1.0741191004573748e-5
512,1048576,1.1585498665798953e-5,1.1597917119026641e-5,1.1592897769153262e-5
1024,1048576,1.2964673244470149e-5,1.2975722597122427e-5,1.2971149923683069e-5
2048,524288,1.5219841320014541e-5,1.5233556041721206e-5,1.5229558118818554e-5
4096,262144,2.163449594115845e-5,2.1642684818252338e-5,2.164042087483045e-5
8192,131072,4.8342324127186834e-5,4.835265387725821e-5,4.834912453603405e-5
16384,65536,9.235659375004569e-5,9.236973889157349e-5,9.236621502399332e-5
32768,32768,0.0001700061757812783,0.0001700196732483156,0.00017001502616119946
65536,16384,0.0003364933854981163,0.0003365125295409343,0.00033650474398804397
131072,8192,0.000683863568969708,0.0006838914864502402,0.0006838787737732243
262144,4096,0.0013204736379392873,0.001320525315429609,0.0013205074413909531
524288,2048,0.002488865154296957,0.002488955971679932,0.002488929178131008
1048576,1024,0.004773647272460768,0.004773873795898137,0.004773792193298376
