size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,1.7645445333481227e-5,1.7651198552131253e-5,1.7648755106150985e-5
1,1048576,1.7615125033375536e-5,1.7624202547072145e-5,1.762082195943618e-5
2,1048576,1.7611302503588894e-5,1.7619799837115392e-5,1.761651096874597e-5
4,1048576,1.7719039111143514e-5,1.7727198224073618e-5,1.7723685207606705e-5
8,1048576,1.7705294988633544e-5,1.771382169342192e-5,1.7710589777884968e-5
16,1048576,1.7772563695907692e-5,1.778264247607172e-5,1.7779376482604678e-5
32,1048576,1.9404480168339937e-5,1.9414587986954496e-5,1.941045487785716e-5
64,1048576,2.144070662785875e-5,2.1449534223544163e-5,2.1445418015956385e-5
128,1048576,2.271724372100771e-5,2.2727053258920387e-5,2.2721573491993574e-5
256,1048576,2.7058212185846283e-5,2.7069920898445236e-5,2.7062721677541324e-5
512,1048576,2.874825859451355e-5,2.876144980048438e-5,2.875303250956189e-5
1024,1048576,3.102615948772145e-5,3.104040550518667e-5,3.1032249778925716e-5
2048,524288,3.962988295553628e-5,3.9642589752181224e-5,3.9634879246127376e-5
4096,262144,5.120377774808695e-5,5.122056091686053e-5,5.121500193881607e-5
8192,131072,6.705267917646394e-5,6.706741576388738e-5,6.706100216388072e-5
16384,65536,0.00010538887748726047,0.00010540740222168832,0.00010540039431476624
32768,32768,0.0001601693616333274,0.00016019019183336793,0.00016018332355691308
65536,16384,0.0003127015206909889,0.0003127241274414258,0.0003127136610374492
131072,8192,0.0006870602785644248,0.0006870854379880595,0.0006870757693556956
262144,4096,0.0012348518183594726,0.0012348651086424578,0.0012348581181031108
524288,2048,0.002286733375975597,0.002286755612304764,0.0022867453439331057
1048576,1024,0.004345027375976196,0.0043450865126948846,0.004345054980285916
