size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,5.943683524131692e-6,5.950551664352018e-6,5.949939028203474e-6
1,1048576,5.980477856635731e-6,5.985682273864835e-6,5.98518446457382e-6
2,1048576,6.122655238152131e-6,6.127209362983665e-6,6.126068764090609e-6
4,1048576,6.57449738407156e-6,6.580504668236174e-6,6.5793817577357725e-6
8,1048576,6.315468378065031e-6,6.321058890344681e-6,6.319760068238128e-6
16,1048576,6.584566591258303e-6,6.592018195150038e-6,6.589853489517976e-6
32,1048576,6.978447395329266e-6,6.989273793220413e-6,6.98699293291638e-6
64,1048576,7.911197311402547e-6,7.921494338989537e-6,7.918330081223833e-6
128,1048576,9.93765880108758e-6,9.948058089259511e-6,9.944909201024844e-6
256,1048576,1.0581890398983588e-5,1.0591316987033607e-5,1.0588538159848872e-5
512,1048576,1.183045949267549e-5,1.1841832173349636e-5,1.1838378043296355e-5
1024,1048576,1.2870615779873927e-5,1.2883261590965583e-5,1.287944003760911e-5
2048,524288,1.5180837209693418e-5,1.5190180929179972e-5,1.518657612001866e-5
4096,262144,2.221914167405023e-5,2.2225607086183527e-5,2.2223004987479715e-5
8192,131072,4.3797008346565234e-5,4.380908445739378e-5,4.38028597407306e-5
16384,65536,7.930073185729788e-5,7.931053279117248e-5,7.93053255996636e-5
32768,32768,0.00015583035964962175,0.00015583916723634766,0.0001558340852584948
65536,16384,0.0003254980787964455,0.0003255128501587507,0.0003255051367225697
131072,8192,0.0006846586854248847,0.000684679242675821,0.0006846685902099899
262144,4096,0.001343022821777437,0.0013430696398926342,0.0013430520348663
524288,2048,0.002654126686034819,0.002654280045409879,0.0026542368450927223
1048576,1024,0.004792471314452901,0.00479258333691393,0.004792529146606425
