size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.0222738323211658e-5,2.027215467643544e-5,2.0262881650745666e-5
1,1048576,2.0210675974845514e-5,2.026111993599324e-5,2.025093883049508e-5
2,1048576,2.026770335102002e-5,2.0317468461037332e-5,2.0307189445257557e-5
4,1048576,2.0279195734023038e-5,2.032913354109962e-5,2.031860746091738e-5
8,1048576,2.0285467143057065e-5,2.0336413934718048e-5,2.0325596558988944e-5
16,1048576,2.0424038837435173e-5,2.047348507690767e-5,2.0462861156464248e-5
32,1048576,2.2056693291652257e-5,2.2119998756395807e-5,2.210732122045501e-5
64,1048576,2.385042696666329e-5,2.3890004453643607e-5,2.388122339122924e-5
128,1048576,2.5334764258389713e-5,2.5345762052529256e-5,2.534056367808443e-5
256,1048576,2.9618996090870702e-5,2.962900189781907e-5,2.9623299652094998e-5
512,1048576,3.138506791112476e-5,3.1407597195638786e-5,3.1399367589300906e-5
1024,1048576,3.3832890091910195e-5,3.3863228026389516e-5,3.385342570858872e-5
2048,524288,4.286086836814923e-5,4.2874551771141184e-5,4.2868376974694316e-5
4096,262144,5.5422380741060274e-5,5.543584261694318e-5,5.543021296120496e-5
8192,131072,7.10674568024281e-5,7.107651692209302e-5,7.107228986357001e-5
16384,65536,0.00010901221182260841,0.00010902904014583117,0.00010902443719008594
32768,32768,0.0001610962321778077,0.0001611183711852579,0.00016111183836364285
65536,16384,0.00031238483203107487,0.00031240807086198655,0.00031239992792122867
131072,8192,0.0006825413255613019,0.0006825634780274203,0.0006825513331451577
262144,4096,0.0012404816965334992,0.0012404941896967253,0.0012404879029541188
524288,2048,0.00229741237890585,0.002297434454101771,0.002297423133392429
1048576,1024,0.004405489482421254,0.004405568640625246,0.004405526012451522
