size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,5.493082122802665e-6,5.497611371993857e-6,5.4971563898325095e-6
1,1048576,5.462849646566802e-6,5.470983944890978e-6,5.469936948716229e-6
2,1048576,5.675521162988063e-6,5.684307990074105e-6,5.682921147167575e-6
4,1048576,5.38270987796655e-6,5.391410552023743e-6,5.3899854198688405e-6
8,1048576,5.529274925234028e-6,5.538176472666233e-6,5.5365081472399164e-6
16,1048576,5.651652916903656e-6,5.66015140819688e-6,5.658444386124168e-6
32,1048576,5.60775539969803e-6,5.616732270240689e-6,5.6143120812783146e-6
64,1048576,7.987003445627942e-6,7.997781885147513e-6,7.99437245887647e-6
128,1048576,9.936349343307077e-6,9.945924367903233e-6,9.941818875253594e-6
256,1048576,1.067447578048791e-5,1.0684163379671758e-5,1.0681316439568257e-5
512,1048576,1.1476552479749243e-5,1.1488116462709467e-5,1.1482796629312785e-5
1024,1048576,1.2964801849373161e-5,1.297647145176652e-5,1.2970519017817832e-5
2048,524288,1.5211819950083878e-5,1.5222450443275626e-5,1.5218208941813842e-5
4096,262144,2.2330411613476035e-5,2.23383302192667e-5,2.2335485525130607e-5
8192,131072,4.403201117705077e-5,4.4042547370884725e-5,4.403714470195072e-5
16384,65536,7.938380003361003e-5,7.939215165707661e-5,7.938783255004886e-5
32768,32768,0.00015357159204099557,0.00015358556689458718,0.00015358016370584597
65536,16384,0.00032216077478015425,0.0003221774138793222,0.0003221701945571659
131072,8192,0.0006784438266601057,0.0006784736295167432,0.0006784594051513707
262144,4096,0.001320646220947054,0.0013207231259764682,0.0013206910193329369
524288,2048,0.0024359931816405056,0.002436108745605625,0.0024360813165283162
1048576,1024,0.004705400359374723,0.004705704821289014,0.004705663458496023
