size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,6.259472530301124e-7,6.686350396689633e-7,6.498057745010777e-7
1,1048576,7.5889069487411476e-6,7.5987919974096485e-6,7.595124069219306e-6
2,1048576,7.566559638849668e-6,7.576594617475507e-6,7.571985159202099e-6
4,1048576,7.706975320931342e-6,7.719271760353585e-6,7.713909100356964e-6
8,1048576,7.704982593836895e-6,7.716686910130832e-6,7.712076251137345e-6
16,1048576,7.719911475856378e-6,7.731878908900924e-6,7.727362073869926e-6
32,1048576,7.837138313537828e-6,7.849057186315456e-6,7.844349018924779e-6
64,1048576,8.59037032452381e-6,8.601481911729714e-6,8.597007087288167e-6
128,1048576,1.0143345996249664e-5,1.0153191069561807e-5,1.0148602582658872e-5
256,1048576,1.109644657026898e-5,1.1106490195089691e-5,1.1101666672348742e-5
512,1048576,1.1919935506199408e-5,1.1929758605755403e-5,1.1925634167450627e-5
1024,1048576,1.331065463339165e-5,1.3320429879226658e-5,1.3315754512660538e-5
2048,524288,1.7557998806205788e-5,1.7567591810374594e-5,1.7562030233758685e-5
4096,262144,2.4619351524979294e-5,2.4630989348128907e-5,2.4624720008137313e-5
8192,131072,4.32820805666978e-5,4.329318848039776e-5,4.3287524642499076e-5
16384,65536,7.570300948955833e-5,7.571540516693176e-5,7.57093092890182e-5
32768,32768,0.00014403728480871791,0.00014404994804806392,0.00014404331318895736
65536,16384,0.0002985773023169713,0.00029860039919071824,0.0002985916777089592
131072,8192,0.0005752844554933745,0.0005753046945216056,0.0005752940131760198
262144,4096,0.0011764816898391928,0.001176497831920642,0.0011764904814093313
524288,2048,0.0023783939905683837,0.002378465180981948,0.002378429060563292
1048576,1024,0.00463973445891952,0.004639998122911493,0.004639926062523614
