size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,1.692805743924719e-5,1.6938498668128688e-5,1.6935201038292824e-5
1,1048576,2.3584609529669898e-5,2.3595270955079073e-5,2.35915035707579e-5
2,1048576,2.39271224432569e-5,2.3937770664894664e-5,2.393425978286512e-5
4,1048576,2.420757751031566e-5,2.421823717413396e-5,2.4214644339402847e-5
8,1048576,2.502383353686355e-5,2.503379017193552e-5,2.502912789284495e-5
16,1048576,2.574115049136516e-5,2.5750655131218103e-5,2.574657482324466e-5
32,1048576,2.459468712023849e-5,2.460478426513646e-5,2.4599622382728836e-5
64,1048576,2.5803464600571147e-5,2.581421011538243e-5,2.580934854527067e-5
128,1048576,2.786266579613006e-5,2.7874226797064416e-5,2.7868193300160937e-5
256,1048576,3.13731267819195e-5,3.138511516143083e-5,3.137847953789408e-5
512,1048576,4.702418406843378e-5,4.7046875294221024e-5,4.704163664670524e-5
1024,1048576,3.656264819151822e-5,3.6575434153474085e-5,3.6569437205494215e-5
2048,524288,5.146453400040052e-5,5.1476614261414255e-5,5.146900545428823e-5
4096,262144,6.81429764823882e-5,6.815572494911493e-5,6.814923457568178e-5
8192,131072,8.463095451727298e-5,8.463989258622462e-5,8.463598550739748e-5
16384,65536,0.00012440753866194143,0.0001244442893995057,0.0001244367465299545
32768,32768,0.00017782659325149552,0.00017785095620581615,0.00017784325034897464
65536,16384,0.0003174772509453305,0.00031750131651619995,0.0003174911029573124
131072,8192,0.0006407488239261738,0.0006407901923068948,0.0006407739716749461
262144,4096,0.0012442238489995816,0.0012442617448016335,0.0012442510550165764
524288,2048,0.002478776524526438,0.002478830608708904,0.002478812617635384
1048576,1024,0.005122457323409435,0.005122528691003936,0.0051225077553596066
