size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,1.588671121766083e-5,1.5892213304669056e-5,1.5890932938029956e-5
1,1048576,2.2317299258167722e-5,2.2323534179413684e-5,2.2322001008219516e-5
2,1048576,2.2609296620013097e-5,2.261566978645213e-5,2.261398961811434e-5
4,1048576,2.3016682640930597e-5,2.3020791055095025e-5,2.3019292051486284e-5
8,1048576,2.371792745603507e-5,2.372234006098317e-5,2.372096017429215e-5
16,1048576,2.4528650624633386e-5,2.4536405085706647e-5,2.453409547658464e-5
32,1048576,2.3321543828558333e-5,2.3331812289750786e-5,2.3328840515188243e-5
64,1048576,2.4675734074053324e-5,2.468500570618204e-5,2.4681607587270782e-5
128,1048576,2.6548561430583817e-5,2.6559651892021918e-5,2.655514620782118e-5
256,1048576,2.9849594847197736e-5,2.9860397334990907e-5,2.985475376506702e-5
512,1048576,4.586743970325102e-5,4.5880691485700176e-5,4.587691117199921e-5
1024,1048576,3.504569549894754e-5,3.5054607053774944e-5,3.505007429058932e-5
2048,524288,4.948749918121109e-5,4.9497290539601835e-5,4.949134674145372e-5
4096,262144,6.601364219438466e-5,6.602281738565807e-5,6.601720736648664e-5
8192,131072,7.81319176752504e-5,7.814087452473473e-5,7.813638277903712e-5
16384,65536,0.00011635539931020844,0.00011637186451096682,0.0001163681592938337
32768,32768,0.00017665271073497024,0.0001766674447125638,0.00017666396232773884
65536,16384,0.0003159192956445622,0.00031593844484234523,0.0003159333820006438
131072,8192,0.0006345823364029002,0.0006345980264796935,0.0006345896178761024
262144,4096,0.001238754063479064,0.0012387735372954012,0.0012387639826929586
524288,2048,0.002475742714182161,0.002475778484949842,0.0024757608477301574
1048576,1024,0.005038935248421694,0.0050389978705425165,0.005038965378815874
