size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,6.020529174804508e-8,2.7813726902007984e-7,7.435104680060991e-8
1,1048576,4.03636230468775e-7,2.906252632140923e-6,1.5128470589518357e-6
2,1048576,3.957867946624952e-7,3.2545091686246963e-6,1.7879489145874532e-6
4,1048576,3.9972359848012285e-7,3.3532138090123573e-6,1.8915394695995853e-6
8,1048576,4.1274738407085116e-7,3.434440673826534e-6,1.9295804427858866e-6
16,1048576,4.111297302246537e-7,3.4625698471064476e-6,1.9613774054647196e-6
32,1048576,4.426054439543437e-7,3.485230885506475e-6,2.0063141963489284e-6
64,1048576,9.613540821065812e-7,1.043387102985722e-5,7.680604115545321e-6
128,1048576,5.825551257136035e-6,1.0772063923834865e-5,8.941206861376805e-6
256,1048576,1.2344703569371778e-6,6.961171886444839e-6,4.678121128200239e-6
512,1048576,9.277971324893428e-7,7.145252456661865e-6,4.563495178759564e-6
1024,1048576,1.0666255245209133e-6,7.745217512133306e-6,4.948664093793063e-6
2048,524288,1.33609391784296e-6,9.665645175924983e-6,5.9492486821411215e-6
4096,262144,1.8900683937114813e-6,1.1332848667148349e-5,7.990773648269769e-6
8192,131072,2.229557830833468e-6,1.3869764427180205e-5,1.0837751499171741e-5
16384,65536,4.299695571915313e-6,3.1454231155408604e-5,2.531227591895456e-5
32768,32768,8.92152648922966e-6,6.049157922367876e-5,4.736226931954858e-5
65536,16384,1.966404010008381e-5,0.00011614486529546667,8.987587814330683e-5
131072,8192,4.580321728520076e-5,0.000224896402709944,0.00017809133802794354
262144,4096,0.0003473750710450696,0.00034745618872081274,0.00034741454998783684
524288,2048,0.0006352845556643477,0.0006355806767578201,0.0006354317914733349
1048576,1024,0.001208987112304702,0.0012101178300782528,0.0012095531251831186
