size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,5.961158943178059e-8,2.75748879432632e-7,7.445546770095707e-8
1,1048576,2.5060020446772437e-7,9.170315771103423e-7,4.823489346504604e-7
2,1048576,2.2561717605590931e-7,9.789497442243344e-7,4.678516890406277e-7
4,1048576,2.4811070632957616e-7,9.99357772827258e-7,4.810559272765956e-7
8,1048576,2.4973227786998204e-7,1.0776699218753661e-6,4.977193189264009e-7
16,1048576,2.701921110158796e-7,2.1083250989916807e-6,7.617548430561729e-7
32,1048576,3.7640035057116883e-7,1.335707116127108e-6,5.963902899027255e-7
64,1048576,3.002751903539305e-7,2.211030166625345e-6,1.0395544019342374e-6
128,1048576,7.180347280492451e-7,3.6991112022407476e-6,2.33078031009445e-6
256,1048576,3.0927031898532024e-7,2.000498282431222e-6,1.1878009078500601e-6
512,1048576,4.846806049357869e-7,2.076781792639244e-6,1.2820253186228455e-6
1024,1048576,6.248085346198708e-7,2.7640129442209135e-6,1.6693296972510005e-6
2048,524288,7.953499622363904e-7,4.212216823578785e-6,2.1159935958382677e-6
4096,262144,1.4371477889974773e-6,6.949714984886161e-6,3.188145006417246e-6
8192,131072,1.8067251129115036e-6,1.3205352546689263e-5,5.268456067084132e-6
16384,65536,3.3901545257506273e-6,2.594749328612637e-5,1.014710834884402e-5
32768,32768,6.111256866467383e-6,5.346520675659182e-5,1.836452126121366e-5
65536,16384,1.0969450988781255e-5,9.424568005370819e-5,4.117461127854003e-5
131072,8192,1.4278596923810241e-5,0.0001790501386718813,9.894291887664781e-5
262144,4096,0.0003338350874023,0.00033399758886711907,0.00033390716490173445
524288,2048,0.0006492742456054926,0.0006499474975585721,0.0006495958115844988
1048576,1024,0.0012848784726561258,0.0012875869287109834,0.001286194127014137
