size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,5.978313827513401e-8,2.769371566772262e-7,7.474066132306207e-8
1,1048576,2.5929166698447193e-7,9.271010217666073e-7,4.580002740621531e-7
2,1048576,2.5800129318246724e-7,9.763309183123434e-7,4.784870175123361e-7
4,1048576,2.584017429352439e-7,1.0079812965391092e-6,4.841481183767206e-7
8,1048576,2.572095470422257e-7,1.0664454660417956e-6,5.00635683059817e-7
16,1048576,2.5997388362904083e-7,2.08656424522405e-6,7.676315453647956e-7
32,1048576,3.716933002467814e-7,1.3311261959080957e-6,5.914315832255349e-7
64,1048576,3.063450565332156e-7,2.168171946524656e-6,1.030185738802227e-6
128,1048576,7.124993381504867e-7,3.6744579868306505e-6,2.3388778574467648e-6
256,1048576,3.328972177508136e-7,2.0287599544532805e-6,1.198328622221773e-6
512,1048576,5.145964784623888e-7,2.0822100076675853e-6,1.2637643075585226e-6
1024,1048576,6.177469120036286e-7,2.8118584241865286e-6,1.6691198380591881e-6
2048,524288,8.414835491168116e-7,4.1828997955317796e-6,2.1298690119982225e-6
4096,262144,1.5168108940105934e-6,6.89017305374192e-6,3.121840749025309e-6
8192,131072,1.7549897308324707e-6,1.2965515052798597e-5,5.180923457620832e-6
16384,65536,3.315594055168004e-6,2.5722858581546566e-5,1.0140210504530739e-5
32768,32768,6.232258575436999e-6,5.367074105834687e-5,1.7704495931624697e-5
65536,16384,1.1021622985831923e-5,9.432368780518683e-5,4.121277048110857e-5
131072,8192,1.423379357916657e-5,0.0001786432337647411,9.85323183212401e-5
262144,4096,0.0003339729494628227,0.00033413144360344704,0.0003340462374572575
524288,2048,0.0006505283959961673,0.0006511968442382589,0.0006508496242980998
1048576,1024,0.0012887438623045352,0.0012914434531248742,0.001290052474548335
