size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,6.002116870880647e-8,2.766928281784247e-7,7.420005100966109e-8
1,1048576,3.404284975147405e-5,3.4043501963614865e-5,3.40433016285894e-5
2,1048576,3.402455422401372e-5,3.402536018275811e-5,3.40251356881244e-5
4,1048576,3.41406182641898e-5,3.414112445258459e-5,3.4140936542927976e-5
8,1048576,3.409373883628275e-5,3.409448728084374e-5,3.409421437484027e-5
16,1048576,3.416411281013609e-5,3.416465797520128e-5,3.4164439506890246e-5
32,1048576,3.56199897680302e-5,3.5620540746687514e-5,3.562031169921016e-5
64,1048576,3.74587797384368e-5,3.745929101467641e-5,3.745907455129007e-5
128,1048576,3.8656121194797664e-5,3.865693397334542e-5,3.865669016665694e-5
256,1048576,4.02107581033712e-5,4.021204608816218e-5,4.0211718101271655e-5
512,1048576,4.12025744103833e-5,4.12033929472338e-5,4.1203092302382654e-5
1024,1048576,4.387865590952186e-5,4.387967126940484e-5,4.387931617629154e-5
2048,524288,5.2905249382085955e-5,5.2906636226673475e-5,5.290632286189784e-5
4096,262144,6.159390539168326e-5,6.159624839017943e-5,6.159555738209174e-5
8192,131072,7.107450534070154e-5,7.108090023049459e-5,7.10794898767678e-5
16384,65536,8.725951756272804e-5,8.726840806579528e-5,8.726540320300202e-5
32768,32768,0.00011708616476438678,0.0001171036462403411,0.0001171002231465238
65536,16384,0.00016819508691418364,0.0001682123624268221,0.0001682061399117694
131072,8192,0.00026667255920489324,0.00026669947204602945,0.0002666861804199519
262144,4096,0.0003837194492182089,0.00038380982177779743,0.00038376406889350633
524288,2048,0.0006712838652334074,0.000671596033690991,0.0006714396589658361
1048576,1024,0.0012392549707030964,0.001240410652345092,0.0012398304636232066
