size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.3552852439879691e-7,2.693765487670838e-7,2.43355674415824e-7
1,1048576,9.643892233847696e-6,9.644883251190397e-6,9.644619879215945e-6
2,1048576,9.624558186529795e-6,9.625685284617772e-6,9.625449588179572e-6
4,1048576,9.67347592639881e-6,9.675856457708815e-6,9.67558070433167e-6
8,1048576,9.667233856197639e-6,9.668955034255593e-6,9.668656337111575e-6
16,1048576,9.688895566940945e-6,9.689799062726632e-6,9.689535971641645e-6
32,1048576,1.070107278346896e-5,1.0701785655981663e-5,1.0701564434410036e-5
64,1048576,1.1184752321254278e-5,1.1185219216347449e-5,1.118502137354113e-5
128,1048576,1.1809977623938802e-5,1.1810574076657722e-5,1.1810374142824371e-5
256,1048576,1.3170425773624905e-5,1.3173969253537447e-5,1.3173573912769702e-5
512,1048576,1.369824560070628e-5,1.3702043222431438e-5,1.3701590399623225e-5
1024,1048576,1.5555206573488983e-5,1.556023893547787e-5,1.5559737547516812e-5
2048,524288,1.8215989528662596e-5,1.8225233392727856e-5,1.8224326353615292e-5
4096,262144,2.3381800735430597e-5,2.339071280285383e-5,2.3389207817557646e-5
8192,131072,3.194292282866838e-5,3.195328868110499e-5,3.194969100451984e-5
16384,65536,4.937085841363225e-5,4.938224900816407e-5,4.938079245327289e-5
32768,32768,7.583931887816114e-5,7.5854869690045e-5,7.585207023715141e-5
65536,16384,0.00012741115411380073,0.00012742879644778334,0.00012742240368461604
131072,8192,0.00022428134631316196,0.00022430224755858388,0.00022429240608592851
262144,4096,0.00043149990039098585,0.00043153782788100947,0.00043152245841983675
524288,2048,0.0008158124184571985,0.000815919367675888,0.0008158770490112235
1048576,1024,0.001688903591797214,0.0016894640898438285,0.0016892493852538734
2097152,512,0.0032712330156249303,0.003273767904296787,0.0032728386489867412
