size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.328137712479267e-7,2.6249730396268596e-7,2.414658501148172e-7
1,1048576,5.08877765750903e-6,5.089973039627158e-6,5.089176796346877e-6
2,1048576,5.029174140930972e-6,5.032112700460795e-6,5.031405625939339e-6
4,1048576,5.0390176038745e-6,5.040317787170247e-6,5.039927551954939e-6
8,1048576,5.040276756284037e-6,5.044838461876492e-6,5.044027286619341e-6
16,1048576,5.0334575862888e-6,5.0346468915960046e-6,5.034163051694899e-6
32,1048576,3.533322533607871e-5,3.533624132538616e-5,3.533536723420023e-5
64,1048576,3.53212057342552e-5,3.53247590465531e-5,3.532401790714331e-5
128,1048576,3.5430269911764005e-5,3.543315743639183e-5,3.543242407664704e-5
256,1048576,3.545888626669988e-5,3.5462905538550334e-5,3.5462072922465565e-5
512,1048576,3.539608434486918e-5,3.5399607260689926e-5,3.5398768243430814e-5
1024,1048576,4.273526503373293e-5,4.2739958882346326e-5,4.273833100643523e-5
2048,524288,4.371161567307078e-5,4.371938166808083e-5,4.371715629333151e-5
4096,262144,4.736159335707625e-5,4.736994638066829e-5,4.736809728097173e-5
8192,131072,5.524536151886453e-5,5.5254254051217803e-5,5.525170137832489e-5
16384,65536,6.150399467464221e-5,6.151187350473316e-5,6.1509557567129e-5
32768,32768,7.828460025004896e-5,7.829270379637598e-5,7.82902141971469e-5
65536,16384,9.5949137390125e-5,9.596237829588919e-5,9.595642734722013e-5
131072,8192,0.0001233859475098728,0.0001234019285892632,0.00012339373010264204
262144,4096,0.00018427550683561278,0.00018428798999012286,0.0001842830173110154
524288,2048,0.0003151039638678854,0.0003151170258785807,0.00031511119952387905
1048576,1024,0.0005941013564447761,0.0005941279619155471,0.0005941145717468371
2097152,512,0.001153651925780097,0.0011537539394540497,0.0011537095632933522
