size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.771343889236426e-7,2.9059381580360433e-7,2.815135346055188e-7
1,1048576,8.487517181396815e-6,8.489336210250878e-6,8.488989533543549e-6
2,1048576,8.457230542183296e-6,8.458609012603171e-6,8.458211681693434e-6
4,1048576,8.469584439278646e-6,8.47109933185599e-6,8.470657417446352e-6
8,1048576,8.52154811095798e-6,8.522934989934279e-6,8.52252770188455e-6
16,1048576,8.436851974487431e-6,8.440577124596357e-6,8.440093831151838e-6
32,1048576,8.650412425044867e-6,8.657339503285459e-6,8.657009309322514e-6
64,1048576,1.256790536212755e-5,1.2576576525688785e-5,1.2576206012635866e-5
128,1048576,1.5030427416814991e-5,1.5030616945253643e-5,1.5030527700215988e-5
256,1048576,1.9526691472052064e-5,1.9528256499289887e-5,1.9528110537680022e-5
512,1048576,2.0908345195773194e-5,2.09103741817526e-5,2.0910149169266096e-5
1024,1048576,2.2421427233690558e-5,2.242307972528239e-5,2.2422933805674492e-5
2048,524288,2.6538030572860753e-5,2.65411411533267e-5,2.6540835588811078e-5
4096,262144,3.716286812590079e-5,3.7168823120140265e-5,3.7168192353956704e-5
8192,131072,5.5966817710876617e-5,5.598537197878451e-5,5.59828805494306e-5
16384,65536,0.00010404495489501914,0.00010406645657348376,0.00010406353858613524
32768,32768,0.00020277071081541836,0.00020279625122060236,0.00020279206913566473
65536,16384,0.00039868436358644725,0.0003987191635742276,0.0003987106548881351
131072,8192,0.0008153172475586813,0.0008153578947753433,0.0008153420619392292
262144,4096,0.0017684526828614724,0.0017686034235841475,0.0017685491919479331
524288,2048,0.003381211218261529,0.0033817581132811747,0.0033816875439911026
1048576,1024,0.006579899612304957,0.006582016455077916,0.006581802590026819
2097152,512,0.013045257843749658,0.013053758486327616,0.013052951939147987
