size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.748617200851455e-7,2.9955670928940664e-7,2.817984957694929e-7
1,1048576,5.103757534980446e-6,5.10967640686022e-6,5.108865885466327e-6
2,1048576,5.071675879477294e-6,5.078455562591468e-6,5.07750809383397e-6
4,1048576,5.0807895336157e-6,5.086068267821096e-6,5.08527658909562e-6
8,1048576,5.086625512122261e-6,5.092368115425601e-6,5.091517510741946e-6
16,1048576,5.0804509935381915e-6,5.084104279516497e-6,5.083559850216128e-6
32,1048576,3.518899818038544e-5,3.519446633624913e-5,3.519329189279614e-5
64,1048576,3.522580279636808e-5,3.523187980079225e-5,3.523070469629865e-5
128,1048576,9.957213103300847e-6,9.962482907304324e-6,9.962007632732635e-6
256,1048576,1.0906495939251045e-5,1.0910704386718579e-5,1.0910368016034248e-5
512,1048576,1.262699521825157e-5,1.263118291475151e-5,1.2630816760720193e-5
1024,1048576,1.2932080928794811e-5,1.2934778660766624e-5,1.293440256449835e-5
2048,524288,1.4287512977580262e-5,1.4291819028876393e-5,1.4291337754843892e-5
4096,262144,1.6403325160970644e-5,1.6410224803896432e-5,1.6409496549968435e-5
8192,131072,1.9150014076258718e-5,1.915779558563698e-5,1.9156746484037166e-5
16384,65536,2.4026820983916175e-5,2.4035088165305293e-5,2.4033786580562544e-5
32768,32768,3.4334380889872174e-5,3.434633178698351e-5,3.434503530597429e-5
65536,16384,5.3589015747070035e-5,5.360497399907807e-5,5.359915104483266e-5
131072,8192,9.133913476555566e-5,9.135133520501298e-5,9.134678913119948e-5
262144,4096,0.0001624826027834536,0.000162498158691321,0.00016249133085631095
524288,2048,0.00028583999365232315,0.0002858581088866635,0.00028584878332521286
1048576,1024,0.0005219096787109079,0.0005219559082030867,0.0005219346719970682
2097152,512,0.0010485978105465033,0.0010486861738280284,0.0010486265870971994
