size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.748930130004644e-7,3.016053857802977e-7,2.8267687469721085e-7
1,1048576,5.108392460823006e-6,5.110148371696641e-6,5.109395208418325e-6
2,1048576,5.0653503637328574e-6,5.066838101386511e-6,5.0660485005976195e-6
4,1048576,5.064655807495173e-6,5.066928424834932e-6,5.0661705808940554e-6
8,1048576,5.065752656936592e-6,5.067740031242927e-6,5.06696204537181e-6
16,1048576,5.073760198594135e-6,5.075106069563751e-6,5.074374783575591e-6
32,1048576,5.695229271888057e-6,5.698302590369352e-6,5.696548001348753e-6
64,1048576,6.088953487401223e-6,6.091769800184649e-6,6.090186464459574e-6
128,1048576,6.884565132140422e-6,6.887065441132904e-6,6.885723881304099e-6
256,1048576,7.911423036575855e-6,7.914001817697135e-6,7.913348097741436e-6
512,1048576,8.491061415675528e-6,8.49486315059383e-6,8.494165496646806e-6
1024,1048576,9.489340949057497e-6,9.495574858662967e-6,9.49483012387116e-6
2048,524288,1.2213803018575612e-5,1.222354967689922e-5,1.2222369651437023e-5
4096,262144,1.661778680038848e-5,1.6628462493897052e-5,1.662701699161469e-5
8192,131072,2.403624069214521e-5,2.4047805625927753e-5,2.4046229727032366e-5
16384,65536,4.1484738098121737e-5,4.149053913878758e-5,4.148928490781649e-5
32768,32768,6.690212316895787e-5,6.691565490725415e-5,6.691106661129074e-5
65536,16384,0.00012976315411381435,0.00012977523626714164,0.00012976983199691633
131072,8192,0.00025289857922366175,0.0002529136602783186,0.00025290713191984855
262144,4096,0.0004070121743163027,0.0004070354921874783,0.0004070254949035348
524288,2048,0.0007798704077147944,0.0007799322246096335,0.0007799019682770065
1048576,1024,0.0015824892041015753,0.0015827397597656528,0.001582624430877679
2097152,512,0.0031836875917969354,0.0031846590937504027,0.003184252784301786
