size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.7023415660857194e-7,2.8541911792753416e-7,2.7879673317074484e-7
1,1048576,5.146599961280973e-6,5.152357266426587e-6,5.1509797387719345e-6
2,1048576,5.079338428497063e-6,5.08465898799953e-6,5.083926490694207e-6
4,1048576,5.0763517332080825e-6,5.079770113943234e-6,5.07902831813681e-6
8,1048576,5.079802711486131e-6,5.084556982993721e-6,5.083833942323833e-6
16,1048576,5.074887257574085e-6,5.079572349552325e-6,5.078674818068947e-6
32,1048576,3.515044092273467e-5,3.5156608861921527e-5,3.5155629604935466e-5
64,1048576,3.518110525130458e-5,3.518659344005999e-5,3.518565410259519e-5
128,1048576,3.529845573615301e-5,3.53057818212578e-5,3.5304771469564026e-5
256,1048576,3.529140432358886e-5,3.529740256025745e-5,3.5296432868093694e-5
512,1048576,3.534089440344735e-5,3.534720458887763e-5,3.534658043971725e-5
1024,1048576,4.2517687449469745e-5,4.252317646789844e-5,4.252242924255297e-5
2048,524288,4.335550971026794e-5,4.336002733231078e-5,4.335925105375003e-5
4096,262144,4.693047169495213e-5,4.6935587692153525e-5,4.693489856469905e-5
8192,131072,5.507831541441211e-5,5.508337866972756e-5,5.508214921069092e-5
16384,65536,6.256728927625348e-5,6.257322834773375e-5,6.257207561397788e-5
32768,32768,7.803235052505908e-5,7.804036093110416e-5,7.803873304079332e-5
65536,16384,9.444116925077725e-5,9.445729034419231e-5,9.44512151775642e-5
131072,8192,0.00012266733349635545,0.0001226849438478797,0.00012267432853697098
262144,4096,0.00018298246240257277,0.00018299356201197103,0.0001829890351866966
524288,2048,0.0003147326528330219,0.0003147448784182605,0.0003147389074098202
1048576,1024,0.0005916637587882745,0.0005916857988264024,0.0005916768067320798
2097152,512,0.001139302951173149,0.0011394463300792301,0.0011393929019165305
