size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.361801242828575e-8,2.4038936901087313e-7,4.723126173019391e-8
1,1048576,1.1291515598298202e-6,1.1333280954360576e-6,1.1329396768361116e-6
2,1048576,1.084494757652234e-6,1.0941007757189406e-6,1.093666118174804e-6
4,1048576,1.1269409589765196e-6,1.1320975131988845e-6,1.1316413182616526e-6
8,1048576,1.0684149751662544e-6,1.0782847862242528e-6,1.0777385800480867e-6
16,1048576,1.14810250949928e-6,1.235039342880151e-6,1.2331006282865907e-6
32,1048576,1.5290144701001628e-6,1.6051764936454396e-6,1.5825681585223538e-6
64,1048576,1.78646256065393e-6,1.8626200857140078e-6,1.8412068979592112e-6
128,1048576,2.2660024547583492e-6,2.3395466518401687e-6,2.332143642917223e-6
256,1048576,2.9692682161314405e-6,3.154241569519026e-6,3.081121237695209e-6
512,1048576,4.205859577179639e-6,5.0535808954253664e-6,4.656685273379431e-6
1024,1048576,6.718358695029288e-6,8.665722414014845e-6,7.713939422011453e-6
2048,524288,1.048185047912919e-5,1.3782829214099252e-5,1.214007849547239e-5
4096,262144,2.080602696609367e-5,2.724344157791587e-5,2.4035983927368105e-5
8192,131072,6.258399859620557e-5,6.261007270812305e-5,6.260633096873848e-5
16384,65536,0.00013608917686464103,0.0001361074694366314,0.0001361019853095995
32768,32768,0.00023223893096921346,0.0002322620241088666,0.00023225550910425512
65536,16384,0.00041328052630611786,0.00041330498968505675,0.0004132964963874801
131072,8192,0.0008565706015624015,0.0008566004538574663,0.0008565866715011505
262144,4096,0.0015798034843750794,0.0015798770910645105,0.001579835770046215
524288,2048,0.0033197051123045954,0.003319994998535067,0.0033198704834976295
1048576,1024,0.014267068528320284,0.014268109550781144,0.014267545630950913
2097152,512,0.036431821312499696,0.036435230191406265,0.03643323162673949
