size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.3547557830816047e-8,2.4131296920776903e-7,4.7376400589947054e-8
1,1048576,2.4553390696524473e-5,2.4555290824890115e-5,2.4555060612529686e-5
2,1048576,2.4416467599871165e-5,2.4418329596515786e-5,2.4418076123833906e-5
4,1048576,2.447115011406551e-5,2.4472914247509484e-5,2.4472672275841386e-5
8,1048576,2.4431475883486965e-5,2.443481096458245e-5,2.443451201006759e-5
16,1048576,2.4497861869811325e-5,2.4499265606885102e-5,2.449906982500923e-5
32,1048576,2.505169744777198e-5,2.5053545968067284e-5,2.505336481681279e-5
64,1048576,2.5761621477127396e-5,2.576424377059302e-5,2.5763968357517562e-5
128,1048576,3.002183506871519e-5,3.0026572314265613e-5,3.0026283298805293e-5
256,1048576,3.2345139639842525e-5,3.2347704884522286e-5,3.234748635570796e-5
512,1048576,3.3289943763723895e-5,3.3292891551020055e-5,3.32925626276453e-5
1024,1048576,3.6003920948935765e-5,3.6005850047112376e-5,3.6005543231290346e-5
2048,524288,3.92216879844488e-5,3.922724721532728e-5,3.922697656962114e-5
4096,262144,4.814130237958472e-5,4.815040782163026e-5,4.8149825408454886e-5
8192,131072,7.25129084930584e-5,7.253163859553e-5,7.253037753784532e-5
16384,65536,7.248883821101525e-5,7.250778990168863e-5,7.250297879721037e-5
32768,32768,0.0001326124210510541,0.00013263169091791947,0.0001326251025509859
65536,16384,0.00025966654772935707,0.0002596911325070568,0.00025967902322008733
131072,8192,0.0005159613890383247,0.0005160245112309433,0.0005159903553371451
262144,4096,0.0010536656799317867,0.0010538935051270654,0.0010538054504051094
524288,2048,0.0020861246162099667,0.002087082144042962,0.0020867788582304295
1048576,1024,0.0041518470585949485,0.004155791059570868,0.0041547047572174705
2097152,512,0.008284888289062264,0.008300596992185771,0.008296593072326405
