size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.357608032217072e-8,2.5255562782291257e-7,7.066401135920172e-8
1,1048576,1.1308102684020105e-6,1.20682609462724e-6,1.1971683115959164e-6
2,1048576,1.1295627212522845e-6,1.2051426172261216e-6,1.1954918774366558e-6
4,1048576,1.1308913364408637e-6,1.2049788904188465e-6,1.1955818591116976e-6
8,1048576,1.1319279842376114e-6,1.2064219598770219e-6,1.1967084500791208e-6
16,1048576,1.1321320981978609e-6,1.2063283863068157e-6,1.1969233297108366e-6
32,1048576,1.1861444902418167e-6,1.2600117797847399e-6,1.2506547373533792e-6
64,1048576,1.1743484487545737e-6,1.2440649900437881e-6,1.2352559435366555e-6
128,1048576,1.6948788061133136e-6,1.75708659744357e-6,1.7492318379879457e-6
256,1048576,1.911382020950068e-6,1.9423214988706447e-6,1.93840179753252e-6
512,1048576,2.044767999650186e-6,2.073029152870873e-6,2.0692423481942436e-6
1024,1048576,2.438062159539781e-6,2.453371484754225e-6,2.451370482683127e-6
2048,524288,2.8983387813550388e-6,2.90044092750601e-6,2.8999476919173115e-6
4096,262144,3.957579650887012e-6,3.958432109830371e-6,3.958137080669861e-6
8192,131072,6.593077163701152e-6,6.594219642640296e-6,6.593728140832215e-6
16384,65536,1.265545335388642e-5,1.2665119094845939e-5,1.2662972026826767e-5
32768,32768,2.4674210723882382e-5,2.468595574952096e-5,2.4682102394108687e-5
65536,16384,4.880546026611219e-5,4.882331567383942e-5,4.8817507217406954e-5
131072,8192,9.646117614745767e-5,9.648183190916464e-5,9.647347760009686e-5
262144,4096,0.00016772631567384035,0.0001677776962890603,0.0001677534589843827
524288,2048,0.00030189031152342595,0.0003020305410155969,0.00030196242395019485
1048576,1024,0.0005570160029297298,0.000557487974609347,0.0005572589166259866
2097152,512,0.001067218355468691,0.0010689846816406695,0.0010681274750976282
