size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.3684423446665337e-8,2.3093724155428335e-7,6.727851581573936e-8
1,1048576,6.691951780317332e-7,6.706269712447087e-7,6.700720659494129e-7
2,1048576,7.101936359405933e-7,7.11757895469574e-7,7.114295279979619e-7
4,1048576,7.059214048384208e-7,7.073266639709071e-7,7.069474302530073e-7
8,1048576,7.054312944409563e-7,7.070330266954326e-7,7.066413177252211e-7
16,1048576,6.215203552247476e-7,6.231019182206694e-7,6.227429534195827e-7
32,1048576,5.36103231429894e-7,6.16365364074654e-7,5.960718243120602e-7
64,1048576,7.251156053540316e-7,8.039390735622526e-7,7.822701637743032e-7
128,1048576,8.722260875699534e-7,9.459712800971648e-7,9.366683609485691e-7
256,1048576,9.114554834360636e-7,9.73975899696501e-7,9.656077967882336e-7
512,1048576,9.627108440404078e-7,1.0559257163999986e-6,1.043937367916179e-6
1024,1048576,1.366592420578785e-6,1.4081739397043968e-6,1.4028639565705903e-6
2048,524288,1.9484129791227914e-6,1.966769456862817e-6,1.9641720328330145e-6
4096,262144,3.401390060426433e-6,3.4236363792431837e-6,3.4200884070410367e-6
8192,131072,6.653085952760377e-6,6.670276603697672e-6,6.66687524795598e-6
16384,65536,7.67176953125285e-6,7.690603332518117e-6,7.68531706810133e-6
32768,32768,1.4924416320804418e-5,1.4950328887937078e-5,1.494008467101605e-5
65536,16384,2.2146750976557213e-5,2.2174834472647145e-5,2.2162067092893587e-5
131072,8192,4.418223937988292e-5,4.42423400878909e-5,4.4210802780145756e-5
262144,4096,8.838148950196393e-5,8.860232495117677e-5,8.850949652100461e-5
524288,2048,0.00020245933349608176,0.00020253009619146476,0.00020250263537597993
1048576,1024,0.0005542081699219589,0.0005546804570312168,0.0005544509700927927
2097152,512,0.00106662578906256,0.0010683987773438333,0.0010675370627441488
