size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,1.5018838834812698e-6,1.5027815429835556e-6,1.50236215456373e-6
1,1048576,1.5134394415472485e-6,1.5142374383270152e-6,1.5139019278014032e-6
2,1048576,1.5089401157464266e-6,1.5096869072916963e-6,1.5093742572504232e-6
4,1048576,1.5120700960213895e-6,1.5128743180436999e-6,1.5125201107205055e-6
8,1048576,1.5110541424778745e-6,1.511860304309609e-6,1.511539860565153e-6
16,1048576,1.5111362017261598e-6,1.5120095315790394e-6,1.511608968648992e-6
32,1048576,1.6702491070219594e-6,1.6706800127774812e-6,1.6704245833915055e-6
64,1048576,1.694386178419105e-6,1.694829578235968e-6,1.694562137163208e-6
128,1048576,2.244329928124955e-6,2.2452212776746805e-6,2.244924875251242e-6
256,1048576,2.624016892882608e-6,2.624827084629633e-6,2.624490321904288e-6
512,1048576,2.454933461182307e-6,2.455334146250765e-6,2.4552125767220156e-6
1024,1048576,2.9531585770126156e-6,2.953708905156782e-6,2.953486967858382e-6
2048,524288,4.54039908337478e-6,4.541280259673375e-6,4.540927266587225e-6
4096,262144,5.633368232560443e-6,5.63372729522893e-6,5.633519444089852e-6
8192,131072,8.231876123865334e-6,8.241278777187944e-6,8.239226469780592e-6
16384,65536,7.607240136930926e-6,7.618834783063022e-6,7.614419256507521e-6
32768,32768,1.2193872571231168e-5,1.2205328140169058e-5,1.21999025971542e-5
65536,16384,2.2188857926153105e-5,2.220207491632209e-5,2.2196371512350765e-5
131072,8192,4.418293033836562e-5,4.423582752011157e-5,4.421324788994596e-5
262144,4096,8.83737664594264e-5,8.861464964837751e-5,8.849663623777815e-5
524288,2048,0.000176907327158915,0.00017737941389839307,0.00017714809135327414
1048576,1024,0.0003945670723624062,0.00039487574895247235,0.0003947632477512286
2097152,512,0.0007711536322858592,0.0007723668051653476,0.0007719144466236116
