size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,7.97493486803802e-8,3.3382044151153423e-7,1.1187790898564698e-7
1,1048576,1.0986145750901954e-6,1.0994385070406398e-6,1.0990931516886848e-6
2,1048576,1.0992583034941106e-6,1.1003400985087897e-6,1.0999119077273467e-6
4,1048576,1.0986448897298828e-6,1.0993942637926857e-6,1.099133987526868e-6
8,1048576,1.1005138358388677e-6,1.101489247923304e-6,1.101064062990903e-6
16,1048576,1.1386602827290204e-6,1.1395389761803543e-6,1.1391286019804547e-6
32,1048576,9.21846269097415e-7,9.755851959891704e-7,9.687663891609632e-7
64,1048576,1.1289258146085501e-6,1.1558644005538188e-6,1.1523694599772927e-6
128,1048576,1.4602037641253673e-6,1.4615218135727304e-6,1.460979167828419e-6
256,1048576,1.5702948508167225e-6,1.5718402530118247e-6,1.5714077965835183e-6
512,1048576,1.933804216536217e-6,1.9391000852797546e-6,1.937787676528635e-6
1024,1048576,2.450255655483957e-6,2.46146102442224e-6,2.4592352347481417e-6
2048,524288,3.2279477988339522e-6,3.2403560772387152e-6,3.236294859133848e-6
4096,262144,4.764425351466706e-6,4.775553839153623e-6,4.7698618934471915e-6
8192,131072,1.4275494343962691e-5,1.4286347193248616e-5,1.4280875687638916e-5
16384,65536,2.700383868869949e-5,2.7032843775032234e-5,2.7027493745834796e-5
32768,32768,4.615396484553003e-5,4.618357278296514e-5,4.6176183900237255e-5
65536,16384,8.212037950272588e-5,8.214385578675376e-5,8.21385023803689e-5
131072,8192,0.00015483265173088512,0.00015486198588732236,0.00015485366767631348
262144,4096,0.0003159526309559624,0.000315973761701116,0.0003159673231447613
524288,2048,0.0005948002765734373,0.0005948305887386596,0.0005948142108014309
1048576,1024,0.0013317896218438818,0.0013319116355887672,0.0013318561368187432
2097152,512,0.0028254695326381807,0.002825994572503987,0.002825759940137118
