size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,8.943920071224909e-8,3.4721387698333217e-7,1.2191016058107906e-7
1,1048576,7.38734849542455e-7,7.945755664540144e-7,7.809063915405201e-7
2,1048576,7.352031501095535e-7,7.909894970126174e-7,7.77416856043156e-7
4,1048576,7.349049088445359e-7,7.902035739082436e-7,7.766102766114391e-7
8,1048576,7.439641790119023e-7,7.997109494617405e-7,7.861619983860757e-7
16,1048576,8.261339800030854e-7,8.811314053946973e-7,8.620009029243481e-7
32,1048576,7.28368690028347e-7,7.287669616662384e-7,7.285847046338556e-7
64,1048576,9.12684258613794e-7,9.135351415612281e-7,9.130605398283143e-7
128,1048576,1.122679893716949e-6,1.1233926212328438e-6,1.123095923850903e-6
256,1048576,1.075052620258532e-6,1.1531192096736476e-6,1.1430651031332784e-6
512,1048576,1.5153928275557504e-6,1.5160839973715756e-6,1.515839731406482e-6
1024,1048576,1.9513296103668143e-6,1.9526565098182402e-6,1.9521317922883974e-6
2048,524288,2.625549000767613e-6,2.6357570672708164e-6,2.634257053324429e-6
4096,262144,4.182270331165583e-6,4.194758561060219e-6,4.192079827922135e-6
8192,131072,9.09288601569358e-6,1.0635839806205638e-5,9.863449617342201e-6
16384,65536,1.5786461435851606e-5,2.3097865131660456e-5,1.944227023814582e-5
32768,32768,2.2541179340862527e-5,3.914424811224393e-5,3.0842993722246526e-5
65536,16384,3.472313521513115e-5,5.817992361834001e-5,4.645210317333337e-5
131072,8192,9.153677950735073e-5,9.154740598660283e-5,9.154339263517386e-5
262144,4096,0.0001652331878858604,0.00016524524445316047,0.00016524221463498634
524288,2048,0.00031057370836151676,0.0003105893146937433,0.00031058134929118353
1048576,1024,0.0005883522305794031,0.0005884260352502224,0.0005883905617132257
2097152,512,0.0011615850758062152,0.00116189853463311,0.0011617462408466395
