size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.343878555296562e-8,2.6079621124272166e-7,5.070986053348181e-8
1,1048576,9.358828458785475e-7,9.404011039733233e-7,9.3993340238927e-7
2,1048576,9.346530351636048e-7,9.3892600917813e-7,9.384483142793083e-7
4,1048576,8.610523605343512e-7,8.65576683997704e-7,8.65103676915176e-7
8,1048576,8.843524026870258e-7,8.885868349080131e-7,8.881674682199525e-7
16,1048576,9.402410745620949e-7,9.455026512142079e-7,9.449237471222258e-7
32,1048576,1.2113574962610385e-6,1.2909859390258107e-6,1.268874698847484e-6
64,1048576,1.3181154336934757e-6,1.39582615852376e-6,1.3733448116481116e-6
128,1048576,1.6853153152462083e-6,1.7438805255887115e-6,1.7413310085236112e-6
256,1048576,2.184991986274834e-6,2.2412706108080787e-6,2.237966327965279e-6
512,1048576,2.7359100379939333e-6,2.787148628234356e-6,2.7851114033757885e-6
1024,1048576,3.883886651038931e-6,4.570615491865164e-6,4.240352295159978e-6
2048,524288,5.843158561709462e-6,7.080613958355164e-6,6.468295097291695e-6
4096,262144,1.0934268287662147e-5,1.2876333293916368e-5,1.191488946580889e-5
8192,131072,2.1695336700441225e-5,2.560368198395064e-5,2.3657827777386306e-5
16384,65536,6.039297741700317e-5,6.04116065368654e-5,6.0405688096050274e-5
32768,32768,0.00012707506713867693,0.00012709255804443063,0.0001270872412328717
65536,16384,0.00019809026507570026,0.00019811556573483009,0.00019810890179442362
131072,8192,0.0003830399733886847,0.0003830660375976746,0.00038305367274093984
262144,4096,0.0007638909157714827,0.0007639253359375524,0.0007639088621139486
524288,2048,0.0014722660556639629,0.0014723679067382943,0.0014723257743835423
1048576,1024,0.0029060535751953345,0.0029065005166016428,0.0029062775741882283
2097152,512,0.01425574609570314,0.01425844169140636,0.01425691552703856
