size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.362367248534511e-8,2.746535539627093e-7,5.11213837861939e-8
1,1048576,5.176674674034184e-6,5.250388868331877e-6,5.247708881855002e-6
2,1048576,5.173141878128174e-6,5.2462726945858795e-6,5.243673174142762e-6
4,1048576,5.172220352173129e-6,5.240485209465726e-6,5.23799060648692e-6
8,1048576,5.179828364374022e-6,5.2477746334072125e-6,5.245281880140346e-6
16,1048576,5.177820782660965e-6,5.245600068092849e-6,5.2431114144627925e-6
32,1048576,5.348498353956989e-6,5.412161315918013e-6,5.409732688486939e-6
64,1048576,5.316590099331176e-6,5.382606492990178e-6,5.380020130783757e-6
128,1048576,7.734790552140716e-6,7.73535603237341e-6,7.735020628781343e-6
256,1048576,8.057736405375651e-6,8.070312822342597e-6,8.069652821451367e-6
512,1048576,8.67627324198993e-6,8.682748327254712e-6,8.682372044950023e-6
1024,1048576,9.438521295546335e-6,9.439844032287789e-6,9.439661881623684e-6
2048,524288,1.0845615325924703e-5,1.0846566661836768e-5,1.084607666397158e-5
4096,262144,1.5505475364691154e-5,1.5508975055701505e-5,1.550862296413972e-5
8192,131072,2.8070643203726873e-5,2.8093341674800625e-5,2.809198141193165e-5
16384,65536,5.6773550796474816e-5,5.680475451664939e-5,5.679847344827851e-5
32768,32768,0.0001107440959472409,0.00011077277905266079,0.00011076544867133083
65536,16384,0.00021259873382565523,0.00021263560314937688,0.00021262464726638837
131072,8192,0.00043623474096683365,0.00043629053124994745,0.00043626432910155364
262144,4096,0.0007817926931152144,0.0007819984465333371,0.0007818939687881672
524288,2048,0.001399633640136698,0.0014003205180665584,0.0013999652232208589
1048576,1024,0.0026268693876957405,0.0026293780683592227,0.002628079357269326
2097152,512,0.00505450013476591,0.005064071328124808,0.005059114145935102
