size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.3429470062193284e-8,2.683343992232875e-7,5.11797011792599e-8
1,1048576,9.625777292251396e-7,9.651569623947396e-7,9.647377818227017e-7
2,1048576,9.53793325423958e-7,9.563695755005276e-7,9.559296907782657e-7
4,1048576,8.93894067764281e-7,8.965203657149351e-7,8.960785257219742e-7
8,1048576,9.159051437380343e-7,9.184889774319062e-7,9.180771648585762e-7
16,1048576,9.586795883183488e-7,9.614914312361985e-7,9.609861515759968e-7
32,1048576,1.1889310836787766e-6,1.2662442445758713e-6,1.2432516715229248e-6
64,1048576,1.3342547006602508e-6,1.4109844961167493e-6,1.3882225272654387e-6
128,1048576,1.66373386573787e-6,1.7653669338224405e-6,1.761746600478797e-6
256,1048576,2.231632783890417e-6,2.3105733222955357e-6,2.3071219530702997e-6
512,1048576,1.2852530445097777e-5,1.2852848351478615e-5,1.2852701312899762e-5
1024,1048576,1.3962424687385881e-5,1.396297804736709e-5,1.3962734582483986e-5
2048,524288,1.6091138395310368e-5,1.609186293982781e-5,1.6091625761448527e-5
4096,262144,2.0825812450414214e-5,2.0826971061709308e-5,2.0826707681538438e-5
8192,131072,2.3671573150622135e-5,2.5299137756345396e-5,2.449394896125794e-5
16384,65536,4.2987269226049955e-5,4.300589181518695e-5,4.300045539808673e-5
32768,32768,7.762298767089175e-5,7.764211904907328e-5,7.763653522968345e-5
65536,16384,0.00014727401971433062,0.00014729761145027952,0.0001472905688781822
131072,8192,0.00028796407836914964,0.0002879937734375608,0.0002879829894714445
262144,4096,0.0005280079057617092,0.000528108340332123,0.0005280836347350972
524288,2048,0.0010499920957032435,0.0010504400410156073,0.0010503392178497749
1048576,1024,0.0020841819931637084,0.002086133558593564,0.0020856989062195074
2097152,512,0.004163655355468393,0.004171397187499981,0.004169677030273385
