size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.360800838469545e-8,2.687954835892458e-7,5.1046350598344456e-8
1,1048576,8.128095147132019e-6,8.135600488663282e-6,8.134616985470047e-6
2,1048576,8.133243877411723e-6,8.141960806846604e-6,8.14095048201058e-6
4,1048576,8.195994347571226e-6,8.203364494323076e-6,8.202319619417242e-6
8,1048576,8.193237874984766e-6,8.195836362841158e-6,8.195138344168238e-6
16,1048576,8.197046738629246e-6,8.204357157702913e-6,8.20338579988562e-6
32,1048576,8.319857851981406e-6,8.326906681059334e-6,8.326522474408597e-6
64,1048576,8.258977899553747e-6,8.269049114229636e-6,8.26843456545498e-6
128,1048576,1.078650272560362e-5,1.0795931880954605e-5,1.0795431558758167e-5
256,1048576,1.1755238902113748e-5,1.176559432888429e-5,1.1765101075114485e-5
512,1048576,1.2350721355439874e-5,1.2358335905080924e-5,1.2357838936626925e-5
1024,1048576,1.362797757244801e-5,1.3633783623703114e-5,1.3633372122496938e-5
2048,524288,1.5665893972397025e-5,1.5677526399613534e-5,1.5676827804325085e-5
4096,262144,2.0508468002330494e-5,2.0510813877095552e-5,2.0510523371107505e-5
8192,131072,3.3361342117313084e-5,3.336892127229791e-5,3.336794801831319e-5
16384,65536,4.0760081954954903e-5,4.0771533813417724e-5,4.076789892292034e-5
32768,32768,7.200409515371268e-5,7.201680697636187e-5,7.201279807854673e-5
65536,16384,0.00013656967779539578,0.00013658682849125928,0.00013658181081390624
131072,8192,0.00027511322265623417,0.0002751476527100144,0.00027513724263762
262144,4096,0.0005276362529296821,0.0005277723864744177,0.0005277449217071073
524288,2048,0.0010476984194338207,0.0010482008540042692,0.0010480986603698442
1048576,1024,0.0020863517382810615,0.0020883055107424886,0.002087871629211439
2097152,512,0.00415802401171772,0.004165781158202653,0.004164059775390557
