size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,9.845225207305575e-8,3.544316518055979e-7,1.307950741914754e-7
1,1048576,8.042489276771647e-7,8.498246900079387e-7,8.437164465725788e-7
2,1048576,8.06939317588018e-7,8.516679806114258e-7,8.456751991667288e-7
4,1048576,8.06338209091706e-7,8.527590569518129e-7,8.465575977584239e-7
8,1048576,7.818640457291082e-7,8.125661713487276e-7,8.083238291697881e-7
16,1048576,8.266591189354244e-7,8.832257984425773e-7,8.757928579850027e-7
32,1048576,7.956483016879901e-7,7.959662626511044e-7,7.958232401926446e-7
64,1048576,9.692902817326488e-7,9.699527487860848e-7,9.696263641792435e-7
128,1048576,1.2294188400652217e-6,1.230301174937054e-6,1.229910826197611e-6
256,1048576,1.1893363649762012e-6,1.190093494862765e-6,1.1897618573987467e-6
512,1048576,1.5145713344044687e-6,1.5158244183743896e-6,1.5154071537071268e-6
1024,1048576,1.9530328076999837e-6,1.9582492011560593e-6,1.95703024039387e-6
2048,524288,2.5821707591022758e-6,2.590155757986601e-6,2.5879558901362176e-6
4096,262144,4.102291519814116e-6,4.11580356451946e-6,4.111234938403152e-6
8192,131072,9.138445848932975e-6,1.1176985720506849e-5,1.015781494809187e-5
16384,65536,1.518039908532387e-5,2.360877743257106e-5,1.9395057658633252e-5
32768,32768,2.146561225657706e-5,3.73585306805424e-5,2.9414599778121442e-5
65536,16384,3.4959489013886014e-5,5.8519340575102774e-5,4.6742624682183376e-5
131072,8192,6.168377149151638e-5,0.00011317241112607235,8.743030732194512e-5
262144,4096,0.00016721096673677494,0.00016722249703349235,0.00016721950428877363
524288,2048,0.0003135810287346885,0.00031359779748640904,0.0003135890613545911
1048576,1024,0.0005917609892094333,0.0005918322467834969,0.0005917973999913784
2097152,512,0.0011594386519391264,0.0011597428775189655,0.0011596017218451493
