size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,5.711098386873559e-6,5.721561048055435e-6,5.7186004681786945e-6
1,1048576,6.111073906966968e-6,6.121465236041956e-6,6.118665407856688e-6
2,1048576,6.128564173146778e-6,6.13898628731846e-6,6.13624356112126e-6
4,1048576,6.119428897388701e-6,6.1297372497826075e-6,6.126950479570445e-6
8,1048576,6.1191026845541785e-6,6.129446327829413e-6,6.1266680179729305e-6
16,1048576,6.119970730245061e-6,6.13037127594751e-6,6.127608346713151e-6
32,1048576,6.33927736909401e-6,6.349473960831631e-6,6.346904910451215e-6
64,1048576,6.4025002427525735e-6,6.412563996249787e-6,6.410198975541001e-6
128,1048576,8.902460065407514e-6,8.912584148479397e-6,8.909554939713626e-6
256,1048576,9.233930233776277e-6,9.244034465005768e-6,9.241092535985929e-6
512,1048576,9.86886768788997e-6,9.879048597838391e-6,9.876175283652852e-6
1024,1048576,1.0799873080724609e-5,1.0810118580728556e-5,1.080713118115778e-5
2048,524288,1.7657724534880792e-5,1.766769711242233e-5,1.7664829215842393e-5
4096,262144,2.2956459991174683e-5,2.2966055268192065e-5,2.2963299637121515e-5
8192,131072,3.4789407095559e-5,3.479910297610189e-5,3.479578508348846e-5
16384,65536,4.441070027816352e-5,4.4421907880121125e-5,4.4417564282500654e-5
32768,32768,7.850893670280357e-5,7.852007726683041e-5,7.851521393692495e-5
65536,16384,0.0001517774104584646,0.00015178816667571482,0.00015178236024082636
131072,8192,0.00030651278018467565,0.00030654807834196163,0.0003065364212433419
262144,4096,0.0005349597756776348,0.0005350846822693711,0.0005350590684565226
524288,2048,0.0010584995588942547,0.0010589229505058029,0.0010588244186156004
1048576,1024,0.002099252407788299,0.0021011893127251824,0.0021007553393683764
2097152,512,0.004205495341011556,0.004213241897559783,0.004211510945378194
