size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,7.622118025629732e-8,3.001251895895507e-7,8.382868521214504e-8
1,1048576,1.4340435283699549e-6,1.5009860039327805e-6,1.4802941236662787e-6
2,1048576,1.4338386802315028e-6,1.5005179014870862e-6,1.4800339856214928e-6
4,1048576,1.438563375533164e-6,1.5026707229637282e-6,1.4824357817480593e-6
8,1048576,1.51444779561416e-6,1.5813853355695073e-6,1.5641517160918522e-6
16,1048576,1.59312177849813e-6,1.6506831350682205e-6,1.6259367976896588e-6
32,1048576,1.8749908949899918e-6,1.91873198085446e-6,1.914953812402753e-6
64,1048576,2.4876834338605214e-6,2.4977886541321936e-6,2.495181653029352e-6
128,1048576,2.854005939301185e-6,2.864556199688728e-6,2.861823696827595e-6
256,1048576,4.066722837425818e-6,4.0771933166317e-6,4.074349965922305e-6
512,1048576,5.07888742906637e-6,5.09087089461957e-6,5.08809214251095e-6
1024,1048576,7.270208443266313e-6,7.2815102752921135e-6,7.278171939982536e-6
2048,524288,1.1297703734536313e-5,1.13098991834093e-5,1.1306060028738046e-5
4096,262144,2.182577671949737e-5,2.1838718659239476e-5,2.1834553407325263e-5
8192,131072,4.4269079840120185e-5,4.427902815518081e-5,4.427454951395904e-5
16384,65536,8.75799262285426e-5,8.759030657934375e-5,8.75865484343541e-5
32768,32768,0.00021413877579945506,0.00021415023074666806,0.00021414591765306357
65536,16384,0.00038616342134289994,0.00038617655411599117,0.0003861693481883588
131072,8192,0.0007266955011004939,0.000726730662790942,0.0007267149714083043
262144,4096,0.001404090550067849,0.001404190749440204,0.001404147381136145
524288,2048,0.00302431990326113,0.003024726369403652,0.003024538380948627
1048576,1024,0.019564429647743964,0.01956957236143353,0.01956655579151345
2097152,512,0.03569323922329204,0.03570928713634203,0.03569996966937694
